行业,头腰尾,公司名称,公司主名,规模,员工人数,岗位,在职人数,平均在职天数,平均年收入,平均工作数,城市,企业工商类型,企业性质：国企，央企，外企,成立日期
纯互联网,尾部,上海星邮信息科技有限公司,星邮科技,100~500人,0,,0,0.0,0.0,0.0,上海市,有限责任公司（自然人投资或控股）,,2009-09-22
纯互联网,尾部,杰为软件系统（深圳）有限公司,杰为软件,100~500人,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
游戏,腰部,北京乐动卓越信息技术有限公司,乐动卓越,100~500人,0,,0,0.0,0.0,0.0,北京市,有限责任公司(台港澳法人独资),,2012-03-16
纯互联网,尾部,上海南康科技有限公司,南康科技,100~500人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
电子商务&新零售,尾部,杭州麦苗网络技术有限公司,麦苗网络科技,100~500人,0,,0,0.0,0.0,0.0,杭州市,一人有限责任公司(私营法人独资),,2012-03-23
游戏,尾部,成都风际网络科技股份有限公司,风际网络,50人以内,0,,0,0.0,0.0,0.0,成都市,股份有限公司(非上市、自然人投资或控股),,2013-03-27
纯互联网,尾部,邻动（北京）技术有限公司,邻动（北京）技术有限公司,100~500人,0,,0,0.0,0.0,0.0,北京市,有限责任公司(外国法人独资),,2012-07-10
新能源汽车,头部,长城汽车股份有限公司,长城汽车,1万人以上,66000,数据分析,36,3284.846153846154,393539.24324324325,1.825,保定市,有限责任公司（法人独资）,,2013-03-25
纯互联网,尾部,深圳市华语传媒股份有限公司,华语传媒,100~500人,0,数据分析,1,2125.0,,1.0,深圳市,,,1970-01-01
游戏,尾部,北京联众互动网络股份有限公司,联众互动,500~1000人,0,数据分析,1,5595.5,494375.0,1.0,北京市,股份有限公司(非上市、自然人投资或控股),,1998-03-23
企业数字化服务,腰部,大汉软件股份有限公司,大汉网络,100~500人,0,数据分析,1,1668.0,,1.0,南京市,,,1970-01-01
纯互联网,尾部,郑州信大捷安信息技术股份有限公司,信大捷安,500~1000人,0,,0,0.0,0.0,0.0,郑州市,股份有限公司(非上市、自然人投资或控股),,2004-05-17
电子商务&新零售,腰部,深圳礼意久久网络科技有限公司,礼意久久,50人以内,0,数据分析,2,4743.0,,1.0,深圳市,,,1970-01-01
新金融科技,尾部,合肥联拓金融信息服务有限公司,联拓金融,50人以内,0,,0,0.0,0.0,0.0,合肥市,其他有限责任公司,,2013-09-12
企业数字化服务,腰部,北京易点淘网络技术有限公司,易点云,1000~10000人,1000,数据分析,11,2394.6153846153848,394010.6153846154,1.6428571428571428,北京市,有限责任公司(台港澳法人独资),,2014-10-14
纯互联网,尾部,北京第三石科技发展有限公司,北京第三石科技发展有限公司,50人以内,0,,0,0.0,0.0,0.0,北京市,有限责任公司(自然人独资),,2014-03-26
新金融科技,腰部,北京快快网络技术有限公司,真融宝,100~500人,0,数据分析,1,2553.0,299831.0,1.0,北京市,其他有限责任公司,,2014-07-10
电子商务&新零售,尾部,香港澜庭集贸易有限公司,香港澜庭集,,0,,0,0.0,0.0,0.0,天津市,,,1970-01-01
纯互联网,尾部,环球智达科技（北京）有限公司,环球智达科技（北京）有限公司,100~500人,0,,0,0.0,0.0,0.0,北京市,其他有限责任公司,,2015-06-17
纯互联网,尾部,北京亿学车科技有限公司,好好学车,50~100人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
电子商务&新零售,尾部,北京一撕得物流技术有限公司,一撕得包装,100~500人,0,数据分析,2,4545.5,326956.0,1.5,北京市,,,1970-01-01
电子商务&新零售,尾部,深圳市小亿网络有限公司,万师傅,500~1000人,0,数据分析,2,2034.3333333333333,283500.0,1.0,深圳市,有限责任公司（法人独资）,,2013-12-16
纯互联网,尾部,福州乐群沃客信息科技有限公司,钱来乐,50~100人,0,,0,0.0,0.0,0.0,福州市,有限责任公司,,2014-12-18
纯互联网,尾部,杭州一修鸽科技有限公司,e修鸽,50人以内,0,,0,0.0,0.0,0.0,杭州市,有限责任公司(自然人投资或控股),,2015-05-25
人工智能,尾部,深圳威尔视觉科技有限公司,威尔视觉,100~500人,0,,0,0.0,0.0,0.0,深圳市南山区,有限责任公司,,2016-06-08
人工智能,腰部,深圳市闪剪智能科技有限公司,深圳市闪剪智能科技有限公司,100~500人,0,,0,0.0,0.0,0.0,深圳市宝安区西乡街道前海科兴科学园1号楼19楼,,,1970-01-01
新金融科技,尾部,成都摩宝网络科技有限公司,Mo宝支付,50~100人,0,,0,0.0,0.0,0.0,成都市,,,1970-01-01
纯互联网,尾部,北京分享人本科技有限公司,分享动力,50人以内,0,,0,0.0,0.0,0.0,北京市,有限责任公司(自然人独资),,2016-11-25
纯互联网,尾部,广州华宫信息科技有限公司,广州华宫信息科技有限公司,50人以内,0,,0,0.0,0.0,0.0,广州市,,,1970-01-01
纯互联网,尾部,广州盖世云互联网科技有限公司,广州盖世云互联网科技有限公司,100~500人,0,,0,0.0,0.0,0.0,广州市,,,1970-01-01
纯互联网,尾部,上海持悦网络科技有限公司,上海持悦网络科技有限公司,50人以内,0,,0,0.0,0.0,0.0,上海市,有限责任公司（自然人投资或控股）,,2016-09-07
新金融科技,尾部,启赟金融信息服务（上海）有限公司,iPayLinks,100~500人,0,,0,0.0,0.0,0.0,上海市,有限责任公司（自然人投资或控股）,,2015-01-14
电子商务&新零售,尾部,Jeunesse,Jeunesse,,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
电子商务&新零售,尾部,浙江晨隽堂生物科技有限公司,浙江晨隽堂生物科技有限公司,50人以内,0,,0,0.0,0.0,0.0,衢州市,,,1970-01-01
纯互联网,尾部,广州市高奈特网络科技有限公司,高奈特,100~500人,0,数据分析,0,4743.0,326956.0,1.0,广州市,,,1970-01-01
新能源,腰部,天普新能源科技有限公司,天普新能源科技有限公司,100~500人,0,,0,0.0,0.0,0.0,北京市,,,1970-01-01
企业数字化服务,尾部,武汉理工光科股份有限公司,武汉理工光科股份有限公司,100~500人,0,,0,0.0,0.0,0.0,武汉市,,,1970-01-01
人工智能,腰部,上海阅面网络科技有限公司,阅面科技,50~100人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
纯互联网,尾部,上海城市地理信息系统发展有限公司,上海城市地理信息系统发展有限公司,100~500人,0,,0,0.0,0.0,0.0,上海市,,,1970-01-01
电子商务&新零售,尾部,河南尚研生物科技有限公司,河南尚研生物科技有限公司,50~100人,0,,0,0.0,0.0,0.0,洛阳市,,,1970-01-01
电子商务&新零售,尾部,深圳市益百分生物科技有限公司,深圳市益百分生物科技有限公司,50人以内,0,,0,0.0,0.0,0.0,深圳市,,,1970-01-01
新能源汽车,腰部,江铃控股有限公司,江铃控股有限公司,1000~10000人,0,数据分析,0,1091.0,84000.0,1.0,南昌市,,,1970-01-01
纯互联网,尾部,杭州鼎永科技有限公司,杭州鼎永科技有限公司,50~100人,0,数据分析,0,756.0,133000.0,1.0,杭州市,,,1970-01-01
